documento,pagina,riga,sezione,capitolo,piano_gestionale,voce,anno,importo_mln
cdp2017,29,33,fonti,7124,,Contributi per la prosecuzione degli interventi per il Sistema AV/AC TO-MI-NA,2020,500.0
cdp2017,29,33,fonti,7124,,Contributi per la prosecuzione degli interventi per il Sistema AV/AC TO-MI-NA,2021,400.0
agg2021,18,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2017,2883.0
agg2021,18,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2018,3191.0
agg2021,18,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2019,2913.0
agg2021,18,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2020,3139.0
agg2021,18,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2021,3118.0
agg2021,18,2,impieghi,,,RETE AV/AC TO-MI-NA,2017,189.0
agg2021,18,2,impieghi,,,RETE AV/AC TO-MI-NA,2018,116.0
agg2021,18,2,impieghi,,,RETE AV/AC TO-MI-NA,2019,95.0
agg2021,18,2,impieghi,,,RETE AV/AC TO-MI-NA,2020,110.0
agg2021,18,2,impieghi,,,RETE AV/AC TO-MI-NA,2021,80.0
agg2021,18,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2017,3071.0
agg2021,18,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2018,3306.0
agg2021,18,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2019,3008.0
agg2021,18,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2020,3249.0
agg2021,18,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2021,3198.0
agg2021,18,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2017,527.0
agg2021,18,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2018,667.0
agg2021,18,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2019,888.0
agg2021,18,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2020,400.0
agg2021,18,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2021,620.0
agg2021,18,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2017,3598.0
agg2021,18,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2018,3973.0
agg2021,18,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2019,3896.0
agg2021,18,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2020,3649.0
agg2021,18,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2021,3818.0
agg2021,18,6,impieghi,,,SALDO ANTICIPI/RECUPERI AI FORNITORI,2017,
agg2021,18,6,impieghi,,,SALDO ANTICIPI/RECUPERI AI FORNITORI,2018,
agg2021,18,6,impieghi,,,SALDO ANTICIPI/RECUPERI AI FORNITORI,2019,
agg2021,18,6,impieghi,,,SALDO ANTICIPI/RECUPERI AI FORNITORI,2020,545.0
agg2021,18,6,impieghi,,,SALDO ANTICIPI/RECUPERI AI FORNITORI,2021,1570.0
agg2021,18,7,impieghi,,,TOTALE GENERALE,2017,3598.0
agg2021,18,7,impieghi,,,TOTALE GENERALE,2018,3973.0
agg2021,18,7,impieghi,,,TOTALE GENERALE,2019,3896.0
agg2021,18,7,impieghi,,,TOTALE GENERALE,2020,4194.0
agg2021,18,7,impieghi,,,TOTALE GENERALE,2021,5388.0
agg2021,18,8,fonti,,,RISORSE DA STATO (9+16),2017,2109.0
agg2021,18,8,fonti,,,RISORSE DA STATO (9+16),2018,2582.0
agg2021,18,8,fonti,,,RISORSE DA STATO (9+16),2019,2273.0
agg2021,18,8,fonti,,,RISORSE DA STATO (9+16),2020,4565.0
agg2021,18,8,fonti,,,RISORSE DA STATO (9+16),2021,4993.0
agg2021,18,9,fonti,,,MEF (10+13+14+15+16),2017,1579.0
agg2021,18,9,fonti,,,MEF (10+13+14+15+16),2018,2420.0
agg2021,18,9,fonti,,,MEF (10+13+14+15+16),2019,1870.0
agg2021,18,9,fonti,,,MEF (10+13+14+15+16),2020,3941.0
agg2021,18,9,fonti,,,MEF (10+13+14+15+16),2021,4635.0
agg2021,18,10,fonti,,,A legislazione vigente (11+12),2017,1491.0
agg2021,18,10,fonti,,,A legislazione vigente (11+12),2018,2390.0
agg2021,18,10,fonti,,,A legislazione vigente (11+12),2019,1729.0
agg2021,18,10,fonti,,,A legislazione vigente (11+12),2020,3698.0
agg2021,18,10,fonti,,,A legislazione vigente (11+12),2021,4021.0
agg2021,18,11,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2017,1490.0
agg2021,18,11,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2018,2388.0
agg2021,18,11,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2019,1727.0
agg2021,18,11,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2020,3698.0
agg2021,18,11,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2021,4021.0
agg2021,18,11-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2017,103.0
agg2021,18,11-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2018,145.0
agg2021,18,11-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2019,107.0
agg2021,18,11-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2020,50.0
agg2021,18,11-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2021,29.0
agg2021,18,11-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2017,1121.0
agg2021,18,11-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2018,1881.0
agg2021,18,11-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2019,1365.0
agg2021,18,11-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2020,2754.0
agg2021,18,11-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2021,2874.0
agg2021,18,11-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2017,170.0
agg2021,18,11-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2018,120.0
agg2021,18,11-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2019,120.0
agg2021,18,11-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2020,120.0
agg2021,18,11-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2021,120.0
agg2021,18,11-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2017,
agg2021,18,11-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2018,
