cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J54C14000060001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,2.42,agg2025,142
J54C14000070001,C,,Implementazioni Sistemi IT Area Produzione - 2014,,3.4,agg2024,113
J54C14000080001,C,,Implem Sistemi IT area AFC e PS - 2014,,3.38,agg2021,128
J54E21004780008,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J54F12000010001,C,,Implem Sistemi IT area AFC e PS - 2012,,0.39,agg2021,128
J54F18000010009,A/B,I170,Elettrificazione e ammodernamento linea Barletta-Canosa Elettrificazione e ammodernamento linea Barletta-Canosa,Valorizzazione reti regionali,368.1,agg2025,65
J54G18000140001,A/B,P178,Nodo intermodale di Brindisi Nodo intermodale di Brindisi,"Porti e interporti, ultimo miglio",87.46,agg2025,56
J54H13000160001,C,,Sicurezza ed Obblighi di Legge,,0.21,agg2025,136
J54H14000450001,C,,Sicurezza ed Obblighi di Legge,,6.67,agg2025,136
J54H14000520001,C,,Attrezzaggi tecnologici DTP Milano,,2.58,cdp2017,178
J54H14000540001,C,,Velocizzazione Firenze-Pisa (fase 0),,8.9,agg2024,113
J54H15000960001,C,,Sicurezza ed Obblighi di Legge,,2.72,agg2025,136
J54H16000780001,A/B,P140,Upgrading tecnologico e prestazionale Tirrenica sud 2^ fase,Direttrici di interesse nazionale,100.0,agg2025,49
J54H17000130009,A/B,1940,"Nodo di Udine Revisione fascio Sacca e ACC Udine Centrale su piano ferro attuale Nuovo PM Cargnacco, PRG di Udine Centrale, PRG Udine C.le, ITER PRG/A",Direttrici di interesse nazionale,340.48,agg2025,71
J54H17000300001,A/B,P101,Potenziamento linea Empoli-Siena Raddoppio Empoli-Granaiolo Elettrificazione linea Empoli-Siena ITER,Valorizzazione reti regionali,353.71,agg2025,51
J54H17000740001,C,,Upgrading prestazionale corridoio Scandinavia-Mediterraneo area tirrenica (DOIT Firenze),,23.1,cdp2022,138
J54H20001280009,A/B,P210A,Potenziamento della linea Terni - Rieti - L’Aquila-Sulmona Velocizzazione Terni-Rieti e adeguamento massa assiale Rieti- ITER L'Aquila Linea Terni-Sul,Valorizzazione reti regionali,236.98,agg2025,66
J54J22000200001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J56C17000030001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J57B13000200001,C,,Miglioramento sicurezza gallerie ferroviarie - Territorio Nazionale - 2014,,12.0,agg2021,127
J57B14000140001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,4.7,agg2025,142
J57B14000150001,C,,Riapertura Linee (DTP RM),,12.0,cdp2017,180
J57B15000000001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,10.4,agg2025,142
J57B16000170001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,19.43,agg2025,142
J57B16000360001,C,,Sviluppo infrastrutturale e upgrading,,3.82,agg2025,138
J57B16000410001,C,,Sviluppo infrastrutturale e upgrading,,12.01,agg2025,138
J57B16000420001,C,,Sicurezza ed Obblighi di Legge,,12.5,agg2025,136
J57B17000110001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,12.11,agg2025,142
J57B17000120001,C,,Sicurezza ed Obblighi di Legge,,65.7,agg2025,136
J57B17000460001,C,,Sicurezza ed Obblighi di Legge,,20.95,agg2025,136
J57D17000030001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J57D17000040001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J57D18000000001,C,,Sicurezza ed Obblighi di Legge,,47.6,agg2025,136
J57D24000020001,C,,Manutenzione Straordinaria cicli fino al 2011,,3.41,agg2025,133
J57E13000030001,C,,Implementazioni Sistemi IT Area Produzione - 2013,,2.4,agg2024,113
J57E13000040001,C,,Implem Sistemi IT area AFC e PS - 2013,,4.65,agg2021,128
J57E13000260001,C,,Sviluppo infrastrutturale e upgrading,,18.29,agg2025,138
J57E14000010001,C,,Implem. sistemi IT area movimento e,,5.1,cdp2017,179
J57F19000040001,C,,Sviluppo infrastrutturale e upgrading,,6.0,agg2025,138
J57F19000050001,C,,Sicurezza ed Obblighi di Legge,,2.0,agg2025,136
J57F19000060001,C,,Riapertura Linee (DTP RM) - 2019,,0.4,agg2021,128
J57F20000020001,C,,Sicurezza ed Obblighi di Legge,,78.19,agg2025,136
J57F20000080001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,12.88,agg2025,142
J57F20000090001,C,,Sicurezza ed Obblighi di Legge,,7.06,agg2025,136
J57F20000110001,C,,Sviluppo infrastrutturale e upgrading,,30.0,agg2025,138
J57G20000060001,C,,Sicurezza ed Obblighi di Legge,,65.22,agg2025,136
J57H21000810001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,24.25,agg2025,142
J57H21000820001,C,,Sicurezza ed Obblighi di Legge,,22.76,agg2025,136
J57H21005730001,C,,Sviluppo infrastrutturale e upgrading,,75.65,agg2025,138
J57I05000010001,C,,Interventi upgrading rete merci - Venezia,,-0.01,agg2023,38
J57I05000020001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J57I06000080001,C,,Riqual.piccole-medie-grandi stazioni-RC,,3.21,cdp2017,180
