codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
C130,Campoleone - Nettuno,Linee con <= 40 treni/giorno,25.62,38.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,29
C131,Sulmona - Avezzano,Linee con <= 40 treni/giorno,64.857,17.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C132,Avezzano - Guidonia-M.-S.A.,Linee con <= 40 treni/giorno,81.176,32.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C133,Avezzano - Roccasecca,Linee con <= 40 treni/giorno,79.455,11.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C134,Ciampino - Albano Laziale,Linee con <= 40 treni/giorno,14.493,32.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C135,Ciampino - Velletri,Linee con > 40 e < 100 treni/giorno,27.086,41.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C136,Battipaglia - Potenza Inf.Re,Linee con <= 40 treni/giorno,91.265,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C137,Aversa - Marcianise - Caserta,Linee con > 40 e < 100 treni/giorno,14.92,47.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C138,S.Marcellino F. - B.Gricignano,Linee con <= 40 treni/giorno,23.615,25.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C139,Bosco Redole - Carpinone,Linee con <= 40 treni/giorno,28.912,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C140,Carpinone - Isernia,Linee con <= 40 treni/giorno,10.631,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C141,Isernia - Vairano,Linee con <= 40 treni/giorno,45.24,11.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
